<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
IMOEX;0;20180518;100108;2323.700000000;1710626
IMOEX;0;20180518;100109;2323.600000000;39804416
IMOEX;0;20180518;100110;2323.210000000;1708808
IMOEX;0;20180518;100111;2322.910000000;3647352
IMOEX;0;20180518;100112;2323.070000000;2183278
IMOEX;0;20180518;100113;2323.500000000;936628
IMOEX;0;20180518;100114;2323.480000000;589702
IMOEX;0;20180518;100115;2323.320000000;2479401
IMOEX;0;20180518;100116;2323.450000000;2768856
IMOEX;0;20180518;100117;2323.460000000;1511618
IMOEX;0;20180518;100118;2323.160000000;2757584
IMOEX;0;20180518;100119;2323.150000000;1902114
IMOEX;0;20180518;100120;2321.930000000;26652515
IMOEX;0;20180518;100121;2322.220000000;1647735
IMOEX;0;20180518;100122;2322.500000000;19485410
IMOEX;0;20180518;100123;2322.590000000;4939286
IMOEX;0;20180518;100124;2322.650000000;739297
IMOEX;0;20180518;100125;2322.560000000;1425107
IMOEX;0;20180518;100126;2322.600000000;662582
IMOEX;0;20180518;100127;2322.700000000;279084
IMOEX;0;20180518;100128;2323.380000000;2335551
IMOEX;0;20180518;100129;2323.490000000;619448
IMOEX;0;20180518;100130;2323.540000000;402210
IMOEX;0;20180518;100131;2323.580000000;467777
IMOEX;0;20180518;100132;2323.170000000;5842826
IMOEX;0;20180518;100133;2323.610000000;2620982
IMOEX;0;20180518;100134;2323.460000000;5113643
IMOEX;0;20180518;100135;2324.460000000;10103626
IMOEX;0;20180518;100136;2324.520000000;1644291
IMOEX;0;20180518;100137;2324.570000000;6252024
IMOEX;0;20180518;100138;2324.450000000;6468622
IMOEX;0;20180518;100139;2324.410000000;2027184
IMOEX;0;20180518;100140;2324.180000000;2559468
IMOEX;0;20180518;100141;2324.180000000;618448
IMOEX;0;20180518;100142;2324.400000000;13397789
IMOEX;0;20180518;100143;2324.260000000;7919895
IMOEX;0;20180518;100144;2324.420000000;3056910
IMOEX;0;20180518;100145;2324.400000000;1302150
IMOEX;0;20180518;100146;2324.380000000;2385989
IMOEX;0;20180518;100147;2324.460000000;1550750
IMOEX;0;20180518;100148;2324.420000000;66370
IMOEX;0;20180518;100149;2324.460000000;3262819
IMOEX;0;20180518;100150;2324.440000000;6503483
IMOEX;0;20180518;100151;2324.610000000;1685139
IMOEX;0;20180518;100152;2324.450000000;3634994
IMOEX;0;20180518;100153;2324.520000000;2339159
IMOEX;0;20180518;100154;2324.640000000;6074548
IMOEX;0;20180518;100155;2324.420000000;1065232
IMOEX;0;20180518;100156;2323.970000000;2596370
IMOEX;0;20180518;100157;2324.220000000;4010307
IMOEX;0;20180518;100158;2324.490000000;264943
IMOEX;0;20180518;100159;2324.730000000;655580
IMOEX;0;20180518;100200;2324.680000000;467067
IMOEX;0;20180518;100201;2324.660000000;1553907
IMOEX;0;20180518;100202;2324.490000000;1358091
IMOEX;0;20180518;100203;2324.460000000;2944280
IMOEX;0;20180518;100204;2324.380000000;3046069
IMOEX;0;20180518;100205;2324.540000000;1138620
IMOEX;0;20180518;100206;2324.570000000;2957355
IMOEX;0;20180518;100207;2324.570000000;2448006
IMOEX;0;20180518;100208;2324.540000000;13906940
IMOEX;0;20180518;100209;2324.550000000;1030750
IMOEX;0;20180518;100210;2324.600000000;2107818
IMOEX;0;20180518;100211;2324.380000000;2788435
IMOEX;0;20180518;100212;2324.370000000;625935
IMOEX;0;20180518;100213;2324.420000000;1532718
IMOEX;0;20180518;100214;2324.400000000;739655
IMOEX;0;20180518;100215;2324.420000000;9524535
IMOEX;0;20180518;100216;2324.830000000;4152676
IMOEX;0;20180518;100217;2324.910000000;78744
IMOEX;0;20180518;100218;2324.900000000;689993
IMOEX;0;20180518;100219;2324.580000000;2584891
IMOEX;0;20180518;100220;2324.590000000;2541789
IMOEX;0;20180518;100221;2324.440000000;1149252
IMOEX;0;20180518;100222;2324.020000000;1511375
IMOEX;0;20180518;100223;2324.030000000;557124
IMOEX;0;20180518;100224;2324.340000000;3201892
IMOEX;0;20180518;100225;2323.970000000;1948724
IMOEX;0;20180518;100226;2323.790000000;3976164
